State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Alabama,AL,01,1975,,100.00,48.78,35.36,
Alabama,AL,01,1976,8.21,108.21,52.79,38.26,
Alabama,AL,01,1977,10.35,119.41,58.25,42.23,
Alabama,AL,01,1978,7.90,128.85,62.85,45.56,
Alabama,AL,01,1979,10.88,142.87,69.69,50.52,
Alabama,AL,01,1980,5.15,150.23,73.28,53.12,
Alabama,AL,01,1981,3.27,155.15,75.68,54.86,
Alabama,AL,01,1982,-0.22,154.81,75.51,54.74,
Alabama,AL,01,1983,5.19,162.85,79.43,57.58,
Alabama,AL,01,1984,5.97,172.56,84.18,61.02,
Alabama,AL,01,1985,2.58,177.02,86.35,62.60,
Alabama,AL,01,1986,4.86,185.63,90.55,65.64,
Alabama,AL,01,1987,4.11,193.27,94.27,68.34,
Alabama,AL,01,1988,2.56,198.22,96.69,70.09,
Alabama,AL,01,1989,1.73,201.65,98.37,71.31,
Alabama,AL,01,1990,1.66,205.01,100.00,72.49,
Alabama,AL,01,1991,2.44,210.01,102.44,74.26,
Alabama,AL,01,1992,2.69,215.67,105.20,76.26,
Alabama,AL,01,1993,3.30,222.79,108.67,78.78,
Alabama,AL,01,1994,3.42,230.41,112.39,81.47,
Alabama,AL,01,1995,4.17,240.01,117.07,84.87,
Alabama,AL,01,1996,3.36,248.06,121.00,87.72,
Alabama,AL,01,1997,3.75,257.36,125.54,91.01,
Alabama,AL,01,1998,3.82,267.20,130.34,94.48,
Alabama,AL,01,1999,2.51,273.91,133.61,96.86,
Alabama,AL,01,2000,3.25,282.80,137.95,100.00,
Alabama,AL,01,2001,4.16,294.57,143.69,104.16,
Alabama,AL,01,2002,2.17,300.97,146.81,106.43,
Alabama,AL,01,2003,2.31,307.93,150.20,108.88,
Alabama,AL,01,2004,3.32,318.16,155.20,112.50,
Alabama,AL,01,2005,6.88,340.07,165.88,120.25,
Alabama,AL,01,2006,7.87,366.84,178.94,129.72,
Alabama,AL,01,2007,4.13,381.99,186.33,135.07,
Alabama,AL,01,2008,0.84,385.21,187.90,136.21,
Alabama,AL,01,2009,-2.31,376.31,183.56,133.07,
Alabama,AL,01,2010,-4.40,359.74,175.48,127.21,
Alabama,AL,01,2011,-3.39,347.54,169.53,122.89,
Alabama,AL,01,2012,-1.52,342.25,166.95,121.02,
Alabama,AL,01,2013,-0.56,340.35,166.02,120.35,
Alabama,AL,01,2014,1.29,344.74,168.16,121.90,
Alabama,AL,01,2015,2.32,352.75,172.07,124.74,
Alabama,AL,01,2016,2.66,362.15,176.65,128.06,
Alabama,AL,01,2017,3.16,373.58,182.23,132.10,
Alabama,AL,01,2018,4.41,390.04,190.26,137.92,
Alabama,AL,01,2019,4.59,407.94,198.99,144.25,
Alabama,AL,01,2020,4.07,424.56,207.10,150.13,
Alabama,AL,01,2021,10.72,470.07,229.30,166.22,
Alabama,AL,01,2022,15.94,545.02,265.85,192.72,
Alabama,AL,01,2023,7.19,584.18,284.96,206.57,
Alabama,AL,01,2024,4.47,610.27,297.69,215.80,
Alaska,AK,02,1975,,100.00,57.27,38.16,
Alaska,AK,02,1976,9.22,109.22,62.55,41.68,
Alaska,AK,02,1977,7.88,117.82,67.48,44.97,
Alaska,AK,02,1978,10.16,129.79,74.34,49.54,
Alaska,AK,02,1979,11.11,144.21,82.59,55.04,
Alaska,AK,02,1980,-5.28,136.60,78.23,52.13,
Alaska,AK,02,1981,21.16,165.50,94.78,63.16,
Alaska,AK,02,1982,24.77,206.50,118.27,78.81,
Alaska,AK,02,1983,5.86,218.60,125.20,83.43,
Alaska,AK,02,1984,6.78,233.42,133.68,89.08,
Alaska,AK,02,1985,-5.50,220.57,126.33,84.18,
Alaska,AK,02,1986,-3.72,212.37,121.63,81.05,
Alaska,AK,02,1987,-14.88,180.76,103.53,68.99,
Alaska,AK,02,1988,5.49,190.68,109.20,72.77,
Alaska,AK,02,1989,-9.89,171.83,98.41,65.58,
Alaska,AK,02,1990,1.62,174.61,100.00,66.64,
Alaska,AK,02,1991,12.33,196.14,112.33,74.86,
Alaska,AK,02,1992,3.99,203.97,116.82,77.85,
Alaska,AK,02,1993,1.39,206.80,118.44,78.92,
Alaska,AK,02,1994,4.04,215.15,123.22,82.11,
Alaska,AK,02,1995,4.77,225.40,129.09,86.02,
Alaska,AK,02,1996,4.11,234.66,134.40,89.56,
Alaska,AK,02,1997,2.90,241.47,138.29,92.16,
Alaska,AK,02,1998,2.37,247.18,141.56,94.34,
Alaska,AK,02,1999,3.64,256.17,146.71,97.77,
Alaska,AK,02,2000,2.28,262.02,150.06,100.00,
Alaska,AK,02,2001,4.92,274.91,157.45,104.92,
Alaska,AK,02,2002,4.46,287.17,164.47,109.60,
