"25 to 34 Years, Male",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,22520,74,298,1062,7063,5624,8396,N
2023,22680,117,391,958,7041,5636,8534,N
2022,22326,78,337,1042,6840,5754,8275,N
2021,22837,95,330,1213,6936,6026,8236,N
2020,22783,94,285,1064,6897,6092,8352,N
2019,22726,147,379,1303,6593,5939,8365,N
2018,22490,95,432,1431,6530,6047,7955,N
2017,22121,135,390,1410,6456,6267,7464,N
2016,21845,116,468,1427,6386,6015,7432,N
2015,21427,166,488,1584,6198,5920,7071,N
2014,21217,151,512,1611,6323,5910,6710,N
2013,20816,161,582,1747,6058,5749,6519,N
2012,20464,161,579,1707,6127,5619,6270,N
2011,20985,190,657,1791,6444,5750,6151,N
2010,20689,186,641,1866,6458,5587,5951,N
2009,20440,184,695,1806,6495,5508,5752,N
2008,20210,172,714,1874,6356,5277,5816,N
2007,20024,246,757,1930,6361,5137,5593,N
2006,19827,218,834,1835,6233,5336,5371,N
2005,19677,241,769,1827,6216,5198,5426,N
2004,19598,280,793,1723,6020,5286,5495,N
2003,19564,216,771,1831,6028,5252,5466,N
2002,19234,280,809,1782,5751,5131,5480,N
2001,19330,233,748,1677,6099,5161,5411,N
2000,18563,155,593,1637,5989,4870,5318,N
1999,18294,157,616,1724,6114,5052,5260,N
1998,19526,190,654,1735,6592,5233,5125,N
1997,20039,193,629,2007,6482,5477,5249,N
1996,20390,225,601,2055,6701,5536,5274,N
1995,20589,229,708,1930,7176,5373,5174,N
1994,20873,230,716,2134,7408,5510,4873,N
1993,20856,237,679,1986,7604,5308,5041,N
1992,21125,231,682,2057,8113,5116,4927,N
1991,21319,270,694,2095,8810,4441,5009,12.9
1990,21462,295,759,2153,8649,4392,5215,12.9
1989,21461,251,698,2129,8659,4391,5335,12.9
1988,21277,237,651,2227,8569,4273,5319,12.9
1987,21142,223,698,2030,8544,4384,5263,12.9
1986,20956,227,715,1887,8359,4488,5279,12.9
1985,20184,194,700,1823,7955,4433,5080,12.9
1984,19876,231,721,1739,7798,4238,5150,12.9
1983,19438,213,659,1724,7351,4284,5207,13
1982,19090,182,659,1654,7380,4162,5053,13
1981,18625,176,733,1679,6991,4185,4863,13
1980,18051,198,699,1639,6393,4166,4957,13
1979,16719,197,695,1476,5852,3862,4637,13
1978,16263,154,717,1526,5701,3698,4471,13.1
1977,15863,134,672,1625,5634,3403,4396,13
1976,15266,134,724,1566,5672,3085,4087,12.9
1975,14776,177,815,1605,5508,2915,3757,12.9
1974,14222,211,859,1617,5491,2672,3372,12.8
1973,13638,204,966,1760,5363,2416,2927,12.7
1972,13030,157,927,1796,5150,2191,2809,12.7
1971,12596,170,1092,1771,5049,2005,2506,12.6
1970,12236,189,1063,1896,4833,1842,2412,12.6
1969,11788,204,1121,1849,4652,1719,2241,12.6
1968,11381,193,1192,1880,4473,1505,2136,12.5
1967,10876,170,1209,1814,4187,1522,1973,12.5
1966,10701,241,1162,1839,4191,1374,1894,12.5
1965,10693,325,1240,1802,4188,1316,1822,12.5
1964,10729,297,1344,1962,4008,1306,1812,12.4
1962,10762,334,1569,2008,3700,1309,1842,12.4
1960,11184,420,2026,2441,3356,1316,1624,12.2
1959,11226,416,1822,2238,3682,1256,1658,12.3
1957,11368,423,2097,2446,3542,1181,1556,12.2
1952,10936,502,2202,2268,3458,1118,1268,12.1
1950,11454,631,2705,2426,3250,1117,1037,11.5
1947,10894,544,2665,2494,3337,993,738,11.7
1940,10521,779,3932,2220,2049,692,744,9.6999999999999993
