"35 to 54 Years, Female",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,42390,335,960,1942,9447,10380,19320,N
2023,41760,302,1040,1875,9244,10230,19060,N
2022,41857,286,1030,1988,9344,10224,18985,N
2021,41446,278,1048,1957,9015,10555,18593,N
2020,41408,292,1022,1980,9214,10823,18077,N
2019,41547,327,1107,2267,9616,10709,17521,N
2018,41785,334,1107,2317,9927,11349,16751,N
2017,41769,314,1098,2348,10072,11595,16342,N
2016,42031,356,1300,2393,10276,11853,15853,N
2015,42150,394,1326,2484,10752,11830,15364,N
2014,42163,385,1153,2440,10993,12273,14919,N
2013,42456,369,1147,2475,11290,12358,14817,N
2012,42716,400,1237,2642,11739,12352,14345,N
2011,42587,452,1183,2654,11789,12457,14053,N
2010,42976,406,1181,2710,12321,12600,13758,N
2009,43424,409,1258,2768,12476,12713,13800,N
2008,43648,398,1253,2654,12483,12792,14067,N
2007,43748,382,1288,2830,12938,12419,13892,N
2006,43573,417,1298,2915,12976,12710,13255,N
2005,43287,407,1280,2829,13215,12700,12856,N
2004,43030,386,1259,2781,13411,12458,12736,N
2003,42968,419,1248,2830,13443,12417,12611,N
2002,42675,428,1303,2811,13607,12410,12116,N
2001,42428,398,1244,2926,13572,12444,11844,N
2000,41411,452,1235,2858,13635,11905,11330,N
1999,40676,402,1248,2950,13825,11326,10925,N
1998,39866,403,1279,2879,13841,11168,10293,N
1997,39061,381,1319,2902,13726,10969,9766,N
1996,38065,449,1301,2924,13174,10592,9623,N
1995,37034,396,1192,2881,12846,10623,9096,N
1994,36051,443,1298,2792,12795,10140,8587,N
1993,35093,462,1169,2877,12944,9358,8283,N
1992,33975,427,1240,3096,12770,8687,7756,N
1991,32891,464,1431,2910,13723,6919,7443,12.8
1990,31876,454,1448,2955,13643,6383,6997,12.8
1989,30898,498,1552,3171,13099,5908,6669,12.8
1988,29908,462,1547,3234,12949,5689,6029,12.7
1987,28969,430,1598,3039,13038,5349,5513,12.7
1986,28244,420,1694,3071,12759,5098,5202,12.7
1985,27516,398,1710,3252,12391,4715,5049,12.7
1984,26838,389,1740,3331,12364,4444,4570,12.6
1983,26161,427,1935,3450,11993,4161,4193,12.6
1982,25555,433,2017,3666,11833,3827,3778,12.6
1981,25034,467,2105,3661,11599,3605,3595,12.5
1980,24751,444,2186,3862,11307,3501,3452,12.5
1979,24461,486,2282,3935,11258,3353,3147,12.5
1978,24202,497,2483,4212,11012,3149,2849,12.5
1977,23964,534,2557,4227,10959,3014,2678,12.4
1976,23868,517,2721,4198,10989,2988,2455,12.4
1975,23835,533,2842,4256,11058,2793,2352,12.4
1974,23850,559,2956,4364,11033,2647,2290,12.4
1973,23744,628,3106,4415,10815,2603,2174,12.3
1972,23756,618,3330,4604,10736,2509,1958,12.3
1971,23821,590,3604,4570,10660,2505,1894,12.3
1970,23845,629,3728,4679,10588,2318,1903,12.3
1969,23834,755,3953,4575,10349,2293,1913,12.3
1968,23874,725,4212,4676,10038,2281,1943,12.2
1967,23839,773,4334,4868,9762,2282,1819,12.2
1966,23806,752,4644,4853,9615,2200,1741,12.2
1965,23765,746,4735,4803,9545,2223,1712,12.2
1964,23632,748,5033,4871,9103,2183,1691,12.1
1962,23206,946,5250,4579,8466,2310,1655,12.1
1960,22823,1027,6121,4923,7153,2166,1433,11.6
1959,22478,953,5876,4390,7640,1888,1459,12
1957,21772,1167,6056,4397,6846,1690,1388,11.5
1952,20126,1140,6762,3886,5334,1630,1226,10.7
1950,19536,1570,7082,3637,4111,1607,1113,9.6999999999999993
1947,18552,1525,7419,3209,3808,1454,963,9.3000000000000007
1940,16718,2070,7812,2584,2419,1017,623,8.6999999999999993
