"25 Years and Over, Both Sexes",Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median
2024,229800,2125,5918,11600,64010,57230,88890,N
2023,227700,2022,6018,11490,64110,56730,87310,N
2022,226274,2203,5732,11998,64465,56659,85217,N
2021,224580,2074,5862,12118,62547,56942,85037,N
2020,223058,2106,5788,12313,61597,57552,83701,N
2019,221478,2181,6422,13372,62259,57428,79816,N
2018,219830,2129,6600,13682,62685,57810,76924,N
2017,216921,2208,6600,13734,62512,57765,74103,N
2016,215015,2414,7078,13961,62002,57660,71900,N
2015,212132,2601,7295,14686,62575,56031,68945,N
2014,209287,2525,7388,14545,62240,55709,66879,N
2013,206899,2344,7578,14595,61704,55173,65506,N
2012,204579,2484,7800,14993,62113,53900,63291,N
2011,201543,2589,7688,14763,61911,53249,61343,N
2010,199928,2615,7836,15260,62456,51920,59840,N
2009,198285,2785,8043,15587,61626,51670,58574,N
2008,196305,2599,8226,15516,61183,50994,57787,N
2007,194318,2830,8462,16451,61490,49243,55842,N
2006,191884,2951,8791,16154,60898,49371,53720,N
2005,189367,2983,8935,16099,60893,48076,52381,N
2004,186876,2858,8888,15999,59811,47571,51749,N
2003,185183,2915,9361,16323,59292,46910,50383,N
2002,182142,2902,9668,16378,58456,46042,48696,N
2001,180389,2810,9518,16279,58272,46281,47228,N
2000,175230,2742,9438,15674,58086,44445,44845,N
1999,173754,2742,9655,16443,57935,43176,43803,N
1998,172211,2834,9948,16776,58174,42506,41973,N
1997,170581,2840,10472,17211,57586,41774,40697,N
1996,168323,3027,10595,17102,56559,41372,39668,N
1995,166438,3074,10873,16566,56450,41249,38226,N
1994,164512,3156,11359,16925,56515,40014,36544,N
1993,162826,3380,11747,17067,57589,37451,35590,N
1992,160827,3449,11989,17672,57860,35520,34337,N
1991,158694,3803,13046,17379,61272,29170,34026,12.7
1990,156538,3833,13758,17461,60119,28075,33291,12.7
1989,154155,3861,14061,17719,59336,26614,32565,12.7
1988,151635,3714,14550,17847,58940,25799,30787,12.7
1987,149144,3640,15301,17417,57669,25479,29637,12.7
1986,146606,3894,15672,17484,56338,24729,28489,12.6
1985,143524,3873,16020,17553,54866,23405,27808,12.6
1984,140794,3884,16258,17433,54073,22281,26862,12.6
1983,138020,4119,16714,17681,52060,21531,25915,12.6
1982,135526,4119,17232,18006,51426,20692,24050,12.6
1981,132899,4358,17868,18041,49915,20042,22674,12.5
1980,130409,4390,18426,18086,47934,19379,22193,12.5
1979,125295,4324,18504,17579,45915,18393,20579,12.5
1978,123019,4445,19309,18175,44381,17379,19332,12.4
1977,120870,4509,19567,18318,43602,16247,18627,12.4
1976,118848,4601,19912,18204,43157,15477,17496,12.4
1975,116897,4912,20633,18237,42353,14518,16244,12.3
1974,115005,5106,21200,18274,41460,13665,15300,12.3
1973,112866,5100,21838,18420,40448,12831,14228,12.3
1972,111133,5124,22503,18855,39171,12117,13364,12.2
1971,110627,5574,24029,18601,38029,11782,12612,12.2
1970,109310,5747,24519,18682,37134,11164,12062,12.2
1969,107750,6014,24976,18527,36133,10564,11535,12.1
1968,106469,6248,25467,18724,34603,10254,11171,12.1
1967,104864,6400,26178,18647,33173,9914,10550,12
1966,103876,6705,26478,18859,32391,9235,10212,12
1965,103245,6982,27063,18617,31703,9139,9742,11.8
1964,102421,7295,27551,18419,30728,9085,9345,11.7
1962,100664,7826,28438,17751,28477,9170,9002,11.4
1960,99465,8303,31218,19140,24440,8747,7617,10.6
1959,97478,7816,28490,17520,26219,7888,7734,11
1957,95630,8561,29316,16951,24832,6985,7172,10.6
1952,88358,8004,30274,15228,21074,6714,6118,10.1
1950,87484,9491,31617,14817,17625,6246,5272,9.3000000000000007
1947,82578,8611,32308,13487,16926,5533,4424,9
1940,74776,10105,34413,11182,10552,4075,3407,8.6
