Year,Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median,High_4_Percent,College_4_Percent,Growth_Total,Growth_High_4,Growth_College_4
1980,130409,4390,18426,18086,47934,19379,22193,12.5,36.75666556756052,17.017997224117966,4.081567500698352,4.397255798758576,7.842946693230964
1981,132899,4358,17868,18041,49915,20042,22674,12.5,37.55859713015147,17.061076456557238,1.9093774202700735,4.132765886427171,2.1673500653359166
1982,135526,4119,17232,18006,51426,20692,24050,12.6,37.945486474919946,17.745672417100778,1.9766890646280257,3.027146148452369,6.06862485666402
1983,138020,4119,16714,17681,52060,21531,25915,12.6,37.71917113461817,18.77626430952036,1.8402372976403052,1.2328394197487653,7.754677754677755
1984,140794,3884,16258,17433,54073,22281,26862,12.6,38.405755927099165,19.078938022927115,2.0098536443993624,3.866692278140607,3.6542542928805712
1985,143524,3873,16020,17553,54866,23405,27808,12.6,38.22775284969761,19.375156768206015,1.9390030825177211,1.4665359791393118,3.5217035217035217
1986,146606,3894,15672,17484,56338,24729,28489,12.6,38.428168014951645,19.432356110936798,2.1473760486051114,2.6829001567455255,2.4489355581127734
1987,149144,3640,15301,17417,57669,25479,29637,12.7,38.66665772676072,19.871399452877757,1.731170620574874,2.3625261812630907,4.029625469479448
1988,151635,3714,14550,17847,58940,25799,30787,12.7,38.86965410360405,20.303360042206613,1.6701979295177816,2.2039570653210565,3.880284779161184
1989,154155,3861,14061,17719,59336,26614,32565,12.7,38.49112905841523,21.12484187992605,1.6618854486101495,0.671869697997964,5.77516484230357
1990,156538,3833,13758,17461,60119,28075,33291,12.7,38.40537121976772,21.26704059078307,1.5458467127242062,1.3196036133207496,2.229387379087978
1991,158694,3803,13046,17379,61272,29170,34026,12.7,38.610155393398614,21.4412643200121,1.3773013581366824,1.9178629052379448,2.2078039109669283
1992,160827,3449,11989,17672,57860,35520,34337,N,35.97654622669079,21.35027078786522,1.3440961851109683,-5.568612090351221,0.914006935872568
1993,162826,3380,11747,17067,57589,37451,35590,N,35.368430103300454,21.85768857553462,1.242950499605166,-0.46837193225025925,3.649124850744095
