Year,Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median,High_4_Percent,College_4_Percent,Growth_Total,Growth_High_4,Growth_College_4
1980,69020,2178,9800,10040,27854,9786,9362,12.4,40.356418429440744,13.564184294407418,4.088434450828696,4.45902868929308,9.44587327566051
1981,70390,2217,9545,9957,28896,10309,9466,12.5,41.05128569399062,13.447932945020598,1.9849319037960012,3.7409348747038127,1.1108737449262978
1982,71762,2045,9245,10046,29677,10673,10076,12.5,41.35475599899669,14.040857278225245,1.9491405029123454,2.702796234772979,6.444115782801606
1983,73016,2015,8964,9814,30012,11220,10990,12.5,41.10331982031335,15.051495562616413,1.7474429363730108,1.1288202985476967,9.07105994442239
1984,74444,1939,8571,9596,31083,11603,11651,12.6,41.75353285691258,15.650690451883294,1.9557357291552537,3.5685725709716114,6.0145586897179255
1985,75768,1926,8390,9770,31314,12242,12126,12.6,41.32879315806145,16.004117833386125,1.7785180807049594,0.7431715085416466,4.0769032701055705
1986,77102,1916,8226,9612,32078,12874,12399,12.6,41.604627636118394,16.08129490804389,1.7606377362474925,2.4398032828766687,2.2513607125185553
1987,78467,1846,8042,9508,32671,13417,12983,12.6,41.63661156919469,16.545809066231666,1.7703820912557393,1.8486189912089284,4.710057262682475
1988,79724,1862,7700,9599,33303,13741,13519,12.6,41.77286638904219,16.957252521198132,1.601947315431965,1.9344372685256037,4.1284756989909885
1989,80930,1904,7402,9643,33440,13888,14652,12.6,41.319658964537254,18.10453478314593,1.5127188801364708,0.4113743506590998,8.380797396257119
1990,82116,1829,7200,9462,33693,14806,15126,12.7,41.03098056408008,18.42028350138828,1.4654639812183368,0.756578947368421,3.235053235053235
1991,83207,1784,6747,9491,34083,15449,15652,12.7,40.96169793406805,18.81091735070367,1.3286083101953334,1.1575104621137922,3.4774560359645643
1992,84248,1712,6263,9587,32086,18889,15709,N,38.0851770961922,18.64613996771437,1.2510966625404112,-5.859226007100314,0.3641707130079223
1993,85181,1672,6154,9246,31823,19930,16357,N,37.35927025979972,19.202639086181193,1.1074446871142343,-0.819672131147541,4.125023871665924
1994,85973,1487,5932,9135,31111,21470,16838,N,36.18694241215265,19.585218615146616,0.9297848111668096,-2.2373754831411246,2.94063703613132
1995,86975,1476,5642,8874,31072,22317,17594,N,35.72520839321644,20.228801379706812,1.1654821862677818,-0.12535759056282345,4.489844399572396
1996,87984,1491,5528,9171,30911,22071,18813,N,35.13252409529005,21.382296781232952,1.1601034780109227,-0.5181513903192585,6.92849835171081
1997,88961,1387,5450,8999,31360,22442,19323,N,35.25140229988422,21.72075403828644,1.1104291689398071,1.4525573420465205,2.7108914048796047
1998,89835,1403,5220,8758,31599,22714,20142,N,35.17448655869093,22.42110535982635,0.9824529850159058,0.7621173469387755,4.2384722869119695
1999,90837,1404,5004,8707,31566,23133,21021,N,34.7501568744014,23.141451170778428,1.115378193354483,-0.10443368461027248,4.364015490020852
