Year,Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median,High_4_Percent,College_4_Percent,Growth_Total,Growth_High_4,Growth_College_4
1980,61389,2212,8627,8046,20080,9593,12832,12.6,32.709443059831564,20.902767596800732,4.073848031736344,4.311688311688312,6.711018711018711
1981,62509,2141,8322,8084,21019,9734,13208,12.6,33.62555791965957,21.129757314946648,1.8244310870025575,4.676294820717131,2.9301745635910224
1982,63764,2074,7987,7960,21749,10020,13974,12.6,34.10858791794743,21.915187252995423,2.007710889631893,3.4730481944906986,5.799515445184737
1983,65004,2103,7750,7867,22048,10310,14926,12.7,33.917912743831145,22.961663897606304,1.9446709742174266,1.3747758517632995,6.81265206812652
1984,66350,1945,7688,7837,22990,10678,15211,12.7,34.649585531273544,22.925395629238885,2.070641806658052,4.272496371552975,1.9094198043682165
1985,67756,1947,7629,7783,23552,11164,15682,12.7,34.76002125273038,23.144813743432316,2.1190655614167295,2.444541104828186,3.0964433633554664
1986,69503,1978,7446,7872,24260,11856,16091,12.7,34.90496813087205,23.151518639483186,2.5783694432965345,3.0061141304347827,2.6080857033541642
1987,70677,1794,7259,7909,24998,12062,16654,12.7,35.36935636770095,23.563535520749323,1.6891357207602549,3.0420445177246496,3.498850288981418
1988,71911,1852,6849,8247,25638,12057,17268,12.7,35.652403665642254,24.01301608933265,1.7459711079983589,2.5602048163853106,3.6868019694968175
1989,73225,1956,6659,8076,25897,12725,17913,12.8,35.366336633663366,24.462956640491633,1.8272586947754865,1.0102192058662922,3.735232800555942
1990,74421,2004,6557,8000,26426,13271,18164,12.8,35.50879456067508,24.40708939681004,1.6333219528849436,2.042707649534695,1.4012169932451293
1991,75487,2018,6299,7887,27189,13720,18373,12.8,36.018122325698464,24.339290208910143,1.4323913949019766,2.8873079542874445,1.1506276150627615
1992,76579,1737,5726,8085,25774,16631,18627,N,33.65674662766555,24.323900808315596,1.4466067004914753,-5.204310566773327,1.3824633973765852
1993,77644,1709,5594,7821,25766,17521,19234,N,33.18479212817474,24.772036474164132,1.3907206936627534,-0.031039031582214632,3.2587104740430557
1994,78539,1669,5427,7789,25404,18544,19705,N,32.34571359451992,25.08944600771591,1.1526969244242955,-1.404952262671738,2.4487886035146094
1995,79463,1598,5231,7691,25378,18933,20631,N,31.936876282043215,25.963026817512553,1.1764855676797514,-0.10234608723035743,4.699314894696777
1996,80339,1537,5067,7930,25649,19301,20854,N,31.925963728699635,25.957505072256314,1.1023998590538993,1.0678540468121995,1.0808976782511754
1997,81620,1454,5023,8212,26226,19332,21374,N,32.13183043371723,26.187209017397695,1.5944933344950771,2.249600374283598,2.4935264217895847
1998,82376,1431,4727,8017,26575,19792,21832,N,32.260609886374674,26.502864912110326,0.9262435677530018,1.3307404865400747,2.142790305979227
1999,82917,1339,4651,7736,26368,20043,22782,N,31.80047517396915,27.475668439523858,0.6567446829173545,-0.7789275634995296,4.351410773176988
2000,83611,1341,4577,7298,26651,20493,23252,N,31.874992524907007,27.809737953140136,0.8369815598731262,1.0732706310679612,2.063032218418049
2001,86096,1419,4673,7615,26956,21120,24313,N,31.309236201449547,28.23940717338785,2.9720969728863427,1.1444223481295261,4.5630483399277475
2002,86996,1457,4743,7894,26947,21127,24828,N,30.974987355740495,28.53924318359465,1.0453447314625535,-0.03338774298857398,2.118208365894789
2003,88597,1482,4566,8026,27356,21568,25598,N,30.876891994085582,28.8926261611567,1.840314497218263,1.5177941885924222,3.1013371999355566
2004,89558,1496,4308,7766,27889,21763,26336,N,31.140713280778936,29.406641506063107,1.0846868404122034,1.9483842667056588,2.883037737323228
2005,90899,1505,4402,7787,29151,21794,26259,N,32.06965973223028,28.888106579830364,1.497353670247214,4.525081573380186,-0.29237545565006073
2006,92233,1472,4395,7940,29380,22136,26910,N,31.85410861622196,29.176108334327193,1.4675628994818426,0.7855648176734932,2.4791500057123272
2007,93421,1458,4249,8294,29604,22219,27596,N,31.688806585243146,29.5393969236039,1.2880422408465517,0.7624234172906739,2.5492382014121144
2008,94470,1310,4136,7853,29491,23247,28433,N,31.21731766698423,30.09738541335874,1.122873872041618,-0.3817051749763546,3.033048267864908
2009,95518,1372,4027,7754,30025,23634,28706,N,31.433865868213324,30.052974308507295,1.1093468826082353,1.8107219151605576,0.9601519361305525
2010,96325,1279,3931,7705,30682,23570,29158,N,31.85258240332209,30.27043861925772,0.844866936074876,2.1881765195670275,1.5745837107224971
2011,97220,1234,3883,7443,30370,24319,29971,N,31.238428306932732,30.828018926146882,0.9291461199065663,-1.016882862916368,2.788257082104397
2012,98119,1237,3879,7388,30216,24632,30766,N,30.795258818373604,31.355802647805213,0.924706850442296,-0.507079354626276,2.652564145340496
2013,99305,1127,3836,7314,30014,25283,31731,N,30.224057197522786,31.953073863350284,1.2087363303743415,-0.6685199894095843,3.136579340830787
2014,100592,1184,3761,7403,30718,25430,32095,N,30.53721965961508,31.906115794496582,1.296007250390212,2.345572066369028,1.1471431722920804
2015,101887,1243,3669,7278,30997,25778,32923,N,30.42291950886767,32.31324899152983,1.2873787179895022,0.9082622566573344,2.579841096744041
2016,103372,1183,3513,7144,30780,26468,34283,N,29.775954804008826,33.16468676237279,1.4574970310245663,-0.7000677484917895,4.130850773015824
2017,104324,1090,3312,6934,31296,26581,35112,N,29.998849737356696,33.656684943062,0.9209457106373099,1.676413255360624,2.418108100224601
2018,105862,973,3284,6939,31325,26668,36674,N,29.590410156618997,34.64321475127996,1.4742532878340553,0.09266359918200409,4.448621553884712
