"","year","Florida","Ohio","Utah","Michigan","New York","California"
"1",1984,19790,62150,23120,61900,25290,59370
"2",1985,21340,65790,25170,63200,26980,61620
"3",1986,22850,67400,25120,68230,29010,64180
"4",1987,24490,65810,25770,68720,30150,65450
"5",1988,25410,62950,27740,70510,30290,69170
"6",1989,26090,70390,29020,70530,33010,72180
"7",1990,26690,65870,30010,65430,33290,69040
"8",1991,27250,59080,29790,67730,33660,67050
"9",1992,27350,70440,31400,66360,34900,63860
"10",1993,28550,71820,31290,65550,34070,63610
"11",1994,29290,70140,31860,69300,35330,62650
"12",1995,29750,69990,34940,69890,37010,63370
"13",1996,30640,69230,34070,73320,38810,66190
"14",1997,32460,78280,36130,70900,39690,65510
"15",1998,34910,79980,38930,75500,40930,67510
"16",1999,35830,81450,39490,81520,43630,70730
"17",2000,38860,81300,42960,77820,46820,69660
"18",2001,36420,79160,41790,75320,47260,70420
"19",2002,38020,79040,42680,70540,47440,69310
"20",2003,38970,79720,43520,72840,49300,69220
"21",2004,40540,80290,43060,66690,49220,70470
"22",2005,42990,84080,44200,70450,51760,72360
"23",2006,45680,81430,45900,72510,55320,71880
"24",2007,45790,77800,49100,71750,55730,71130
"25",2008,44860,87670,46930,69800,57010,70740
"26",2009,45630,82330,45880,64740,56130,70680
"27",2010,44070,78730,45890,64260,54280,69120
"28",2011,45110,74730,44650,65830,53370,68190
"29",2012,46070,77080,44380,66080,57020,63000
"30",2013,48530,79690,50750,73840,60790,65230
"31",2014,46140,81580,49640,66930,60490,69900
"32",2015,48830,85340,53300,69820,63640,74710
"33",2016,51180,86150,53990,72890,66640,78440
"34",2017,53090,87560,60690,70770,70040,77220
"35",2018,54640,94780,61630,74350,70490,82740
"36",2019,58370,102400,64660,77710,78100,87080
"37",2020,57760,100700,60380,77240,77650,82350
"38",2021,59730,100600,62690,74040,81580,83720
"39",2022,65370,102100,67520,73550,85300,80920
"40",2023,72200,103800,73770,78950,89870,83710
"41",2024,75630,104000,80520,79460,100600,86830
