"","year","Florida","Ohio","Utah","Michigan","New York","California"
"1",1976,9.25,5.6,7.725,9.39166666666667,10.2083333333333,9.15833333333333
"2",1977,8.26666666666667,5.19166666666667,6.45833333333333,8.20833333333333,9.15,8.38333333333333
"3",1978,6.79166666666667,3.85833333333333,5.51666666666667,7.025,7.70833333333333,7.15
"4",1979,5.975,4.39166666666667,5.88333333333333,7.85,7.09166666666667,6.21666666666667
"5",1980,5.98333333333333,6.26666666666667,8.475,12.2583333333333,7.425,6.90833333333333
"6",1981,6.76666666666667,6.64166666666667,9.44166666666667,12.4,7.6,7.41666666666667
"7",1982,8.54166666666667,8.125,12.725,15.3833333333333,8.7,10.0666666666667
"8",1983,8.625,8.99166666666667,12.275,14.5,8.93333333333333,9.83333333333333
"9",1984,6.59166666666667,6.56666666666667,9.41666666666667,11.2416666666667,7.25833333333333,7.75833333333333
"10",1985,6.09166666666667,6.05,8.90833333333333,10.0166666666667,6.61666666666667,7.18333333333333
"11",1986,5.85833333333333,6.15833333333333,8.31666666666667,8.90833333333333,6.20833333333333,6.76666666666667
"12",1987,5.4,6.225,7.1,8.38333333333333,4.78333333333333,5.83333333333333
"13",1988,5.19166666666667,4.95,6.04166666666667,7.54166666666667,4.23333333333333,5.275
"14",1989,5.60833333333333,4.59166666666667,5.56666666666667,7.2,4.85833333333333,5.10833333333333
"15",1990,6.18333333333333,4.36666666666667,5.74166666666667,7.68333333333333,5.33333333333333,5.78333333333333
"16",1991,7.675,4.75833333333333,6.6,9.28333333333333,7.30833333333333,7.81666666666667
"17",1992,8.40833333333333,4.85833333333333,7.39166666666667,9.075,8.71666666666667,9.36666666666667
"18",1993,7.40833333333333,4.05,6.675,7.35833333333333,7.95,9.55
"19",1994,6.49166666666667,3.74166666666667,5.63333333333333,6.09166666666667,6.925,8.65833333333333
"20",1995,5.6,3.44166666666667,4.85833333333333,5.325,6.325,7.9
"21",1996,5.29166666666667,3.375,5,4.90833333333333,6.24166666666667,7.34166666666667
"22",1997,4.94166666666667,3.16666666666667,4.61666666666667,4.3,6.41666666666667,6.4
"23",1998,4.43333333333333,3.55833333333333,4.33333333333333,3.98333333333333,5.58333333333333,5.96666666666667
"24",1999,3.94166666666667,3.50833333333333,4.325,3.74166666666667,5.18333333333333,5.28333333333333
"25",2000,3.73333333333333,3.33333333333333,4.06666666666667,3.69166666666667,4.5,4.925
"26",2001,4.66666666666667,4.38333333333333,4.43333333333333,5.15,4.86666666666667,5.45833333333333
"27",2002,5.64166666666667,5.66666666666667,5.81666666666667,6.19166666666667,6.2,6.73333333333333
"28",2003,5.29166666666667,5.575,6.25,7.10833333333333,6.41666666666667,6.9
"29",2004,4.60833333333333,5,6.225,6.94166666666667,5.80833333333333,6.225
"30",2005,3.74166666666667,4.04166666666667,5.9,6.75833333333333,4.95,5.39166666666667
"31",2006,3.28333333333333,2.86666666666667,5.43333333333333,6.86666666666667,4.5,4.89166666666667
"32",2007,4.00833333333333,2.55833333333333,5.6,7.06666666666667,4.425,5.31666666666667
"33",2008,6.3,3.34166666666667,6.6,8.23333333333333,5.39166666666667,7.28333333333333
"34",2009,10.2166666666667,7.625,10.2166666666667,13.4833333333333,8.38333333333333,11.45
"35",2010,11.25,8.25833333333333,9.99166666666667,12.7416666666667,8.73333333333333,12.3166666666667
"36",2011,10.1833333333333,7.21666666666667,8.75833333333333,10.1416666666667,8.35833333333333,11.7333333333333
"37",2012,8.675,4.75833333333333,7.39166666666667,9.06666666666667,8.65,10.3916666666667
"38",2013,7.51666666666667,4.19166666666667,7.38333333333333,8.73333333333333,7.81666666666667,9.025
"39",2014,6.44166666666667,3.625,5.81666666666667,7.225,6.29166666666667,7.56666666666667
"40",2015,5.5,3.5,4.95833333333333,5.41666666666667,5.21666666666667,6.21666666666667
"41",2016,4.90833333333333,3.33333333333333,5.05833333333333,4.99166666666667,4.875,5.51666666666667
"42",2017,4.28333333333333,3.15833333333333,4.93333333333333,4.58333333333333,4.64166666666667,4.83333333333333
"43",2018,3.64166666666667,2.91666666666667,4.475,4.16666666666667,4.1,4.25833333333333
"44",2019,3.24166666666667,2.54166666666667,4.125,4.075,3.89166666666667,4.09166666666667
"45",2020,8.06666666666667,4.83333333333333,8.25833333333333,10.075,9.90833333333333,10.1666666666667
"46",2021,4.71666666666667,2.76666666666667,5.24166666666667,5.725,7.08333333333333,7.35
"47",2022,3.01666666666667,2.36666666666667,3.975,4.13333333333333,4.29166666666667,4.29166666666667
"48",2023,2.95,2.66666666666667,3.63333333333333,3.9,4.04166666666667,4.725
"49",2024,3.35833333333333,3.19166666666667,4.28333333333333,4.69166666666667,4.30833333333333,5.31666666666667
"50",2025,3.6625,3.2,4.85,5.3625,4.1375,5.3875
