state,state_abv,total_ballots_counted,vap,noncitizen_pct,ineligible_prison,ineligible_probation,ineligible_parole,ineligible_felons_total,eligible_overseas,vep,vep_turnout_rate,vap_turnout_rate,year,election_type
Alabama,AL,2270000,4020661,0.0269,25403,27469,7815,60687,NA,3851818,0.5893,0.5646,2024,presidential
Alaska,AK,340981,560512,0.0328,4778,1872,865,7515,NA,534612,0.6378,0.6083,2024,presidential
Arizona,AZ,3428011,5951329,0.0799,31441,47515,7022,85978,NA,5389840,0.636,0.5760000000000001,2024,presidential
Arkansas,AR,1190172,2391789,0.0406,17331,28009,23829,69169,NA,2225513,0.5347999999999999,0.49760000000000004,2024,presidential
California,CA,16140044,30601993,0.1469,97608,0,0,97608,NA,26008952,0.6206,0.5274,2024,presidential
Colorado,CO,3241120,4728091,0.059300000000000005,16366,0,0,16366,NA,4431349,0.7314,0.6855,2024,presidential
Connecticut,CT,1788981,2912979,0.081,10204,0,0,10204,NA,2666824,0.6708,0.6141,2024,presidential
Delaware,DE,518330,835621,0.06,4733,7027,344,12104,NA,773380,0.6701999999999999,0.6203,2024,presidential
District of Columbia,DC,328871,561851,0.07919999999999999,0,0,0,0,NA,517352,0.6357,0.5853,2024,presidential
Florida,FL,11004209,18664571,0.1052,82313,119938,3970,206221,NA,16494837,0.6671,0.5896,2024,presidential
Georgia,GA,5297264,8647469,0.068,48349,233623,17062,299034,NA,7760407,0.6826000000000001,0.6126,2024,presidential
Hawaii,HI,522236,1140526,0.0771,3993,9802,0,13795,NA,1038796,0.5027,0.4579000000000001,2024,presidential
Idaho,ID,917469,1532761,0.0355,8018,17180,6922,32120,NA,1446228,0.6344,0.5986,2024,presidential
Illinois,IL,5705246,9862416,0.08239999999999999,29147,0,0,29147,NA,9020606,0.6325,0.5784999999999999,2024,presidential
Indiana,IN,2976581,5321237,0.042199999999999994,25066,0,0,25066,NA,5071615,0.5869000000000001,0.5594,2024,presidential
Iowa,IA,1674011,2491222,0.0379,8123,17089,6411,31623,NA,2365182,0.7078,0.672,2024,presidential
Kansas,KS,1344147,2257952,0.0475,8534,9659,5058,23251,NA,2127448,0.6318,0.5953,2024,presidential
Kentucky,KY,2092872,3531795,0.028399999999999998,19443,33748,13271,66462,NA,3365030,0.6219,0.5926,2024,presidential
Louisiana,LA,2021164,3500993,0.0318,27272,17414,19087,63773,NA,3325888,0.6077,0.5773,2024,presidential
Maine,ME,842447,1157850,0.02,0,0,0,0,NA,1134693,0.7424000000000001,0.7276,2024,presidential
Maryland,MD,3062527,4845926,0.085,14951,0,0,14951,NA,4419071,0.693,0.632,2024,presidential
Massachusetts,MA,3512930,5695621,0.09239999999999998,5647,0,0,5647,NA,5163699,0.6803,0.6168,2024,presidential
Michigan,MI,5706503,7959215,0.0354,32054,0,0,32054,NA,7645405,0.7464,0.7170000000000001,2024,presidential
Minnesota,MN,3272414,4479893,0.0414,8616,0,0,8616,NA,4285809,0.7635,0.7304999999999999,2024,presidential
Mississippi,MS,1250000,2268545,0.0187,19620,19747,10973,50340,NA,2175783,0.5745,0.551,2024,presidential
Missouri,MO,3000000,4856207,0.026099999999999998,23885,24349,18238,66472,NA,4662988,0.6434000000000001,0.6178,2024,presidential
Montana,MT,612423,911605,0.0101,4434,0,0,4434,NA,897964,0.682,0.6718,2024,presidential
Nebraska,NE,965236,1512908,0.0525,4835,7423,935,13193,NA,1420287,0.6796000000000001,0.638,2024,presidential
Nevada,NV,1487887,2541020,0.1061,10241,0,0,10241,NA,2261177,0.6579999999999999,0.5855,2024,presidential
New Hampshire,NH,831467,1158408,0.029699999999999997,1083,0,0,1083,NA,1122920,0.7404999999999999,0.7178,2024,presidential
New Jersey,NJ,4321921,7330478,0.1214,12537,0,0,12537,NA,6428021,0.6724000000000001,0.5896,2024,presidential
New Mexico,NM,928290,1675845,0.0679,3666,0,0,3666,NA,1558389,0.5957,0.5539000000000001,2024,presidential
New York,NY,8381429,15566053,0.10719999999999999,30192,0,0,30192,NA,13867180,0.6043999999999999,0.5384,2024,presidential
North Carolina,NC,5723987,8674601,0.058199999999999995,29607,0,0,29607,NA,8140132,0.7031999999999999,0.6599,2024,presidential
North Dakota,ND,371975,605359,0.023899999999999998,1390,0,0,1390,NA,589501,0.631,0.6144999999999999,2024,presidential
Ohio,OH,5851387,9261250,0.028999999999999998,44788,0,0,44788,NA,8947886,0.6539,0.6318,2024,presidential
Oklahoma,OK,1575000,3131836,0.0435,22941,14495,1818,39254,NA,2956347,0.5328,0.5029,2024,presidential
Oregon,OR,2308256,3412120,0.0561,12167,0,0,12167,NA,3208533,0.7194000000000002,0.6764999999999999,2024,presidential
Pennsylvania,PA,7075000,10350349,0.0394,37910,0,0,37910,NA,9904635,0.7143,0.6836,2024,presidential
Rhode Island,RI,523402,897523,0.0761,2075,0,0,2075,NA,827146,0.6328,0.5832,2024,presidential
South Carolina,SC,2566404,4337447,0.039299999999999995,16248,16985,4019,37252,NA,4129733,0.6214,0.5917,2024,presidential
South Dakota,SD,436478,709340,0.024099999999999996,2933,3744,3611,10288,NA,681957,0.64,0.6153,2024,presidential
Tennessee,TN,3080000,5651068,0.042,16590,38357,12816,67763,NA,5345960,0.5761,0.545,2024,presidential
Texas,TX,11400000,23513616,0.1225,139380,236717,104277,480374,NA,20152824,0.5657,0.48479999999999995,2024,presidential
Utah,UT,1525885,2545169,0.06309999999999999,5991,0,0,5991,NA,2378578,0.6415,0.5994999999999999,2024,presidential
Vermont,VT,372885,535384,0.0175,0,0,0,0,NA,526015,0.7089,0.6964999999999999,2024,presidential
Virginia,VA,4537976,6891962,0.0652,26498,39416,1917,67831,NA,6374775,0.7119,0.6584,2024,presidential
Washington,WA,3961569,6226585,0.0911,13762,0,0,13762,NA,5645581,0.7016999999999999,0.6362000000000001,2024,presidential
West Virginia,WV,770587,1416183,0.009899999999999999,5436,3965,3207,12608,NA,1389555,0.5546,0.5440999999999999,2024,presidential
Wisconsin,WI,3437142,4704055,0.0318,20839,25838,22965,69642,NA,4484824,0.7664,0.7306999999999999,2024,presidential
Wyoming,WY,271123,459772,0.024499999999999997,2154,3049,868,6071,NA,442437,0.6128,0.5897,2024,presidential
