year,state,state_abv,total_ballots_counted,vap,vep,vap_turnout_rate,vep_turnout_rate,election_type,mean_vep_turnout,normalized_vep_turnout
2024,California,CA,16140044,30601993,26008952,0.5274,0.6206,presidential,0.59315,0.027450000000000085
2024,Florida,FL,11004209,18664571,16494837,0.5896,0.6671,presidential,0.5978583333333334,0.06924166666666665
2024,Michigan,MI,5706503,7959215,7645405,0.7170000000000001,0.7464,presidential,0.6470333333333333,0.0993666666666666
2024,New York,NY,8381429,15566053,13867180,0.5384,0.6043999999999999,presidential,0.569025,0.035374999999999934
2024,Ohio,OH,5851387,9261250,8947886,0.6318,0.6539,presidential,0.6245499999999999,0.029350000000000098
2024,Utah,UT,1525885,2545169,2378578,0.5994999999999999,0.6415,presidential,0.6101416666666667,0.031358333333333266
2022,California,CA,11146610,30478289,25936947,0.3657,0.42979999999999996,midterm,0.43526363636363635,-0.005463636363636393
2022,Florida,FL,7796916,18012539,15992455,0.43290000000000006,0.4875,midterm,0.4280181818181818,0.05948181818181819
2022,Michigan,MI,4500400,7908417,7610641,0.5690999999999999,0.5913,midterm,0.47393636363636366,0.11736363636363639
2022,New York,NY,5962278,15633935,14001265,0.3814,0.42579999999999996,midterm,0.38945454545454544,0.036345454545454514
2022,Ohio,OH,4201368,9180896,8901077,0.45760000000000006,0.47200000000000003,midterm,0.4499818181818182,0.022018181818181826
2022,Utah,UT,1084634,2454289,2290732,0.44190000000000007,0.4734999999999999,midterm,0.41901818181818185,0.054481818181818076
2020,California,CA,17785151,30490123,25840035,0.5832999999999999,0.6883,presidential,0.59315,0.09515000000000007
2020,Florida,FL,11144855,17593558,15742624,0.6335,0.7079000000000001,presidential,0.5978583333333334,0.1100416666666667
2020,Michigan,MI,5579317,7907056,7615249,0.7056,0.7326999999999999,presidential,0.6470333333333333,0.08566666666666656
2020,New York,NY,8690139,15787812,14081957,0.5504,0.6171,presidential,0.569025,0.04807499999999998
2020,Ohio,OH,5974121,9184163,8906277,0.6505,0.6708,presidential,0.6245499999999999,0.04625000000000001
2020,Utah,UT,1515845,2402151,2255175,0.631,0.6722,presidential,0.6101416666666667,0.062058333333333326
2018,California,CA,12712542,30532421,25979117,0.4164,0.4893,midterm,0.43526363636363635,0.05403636363636366
2018,Florida,FL,8318824,17097477,15284174,0.48660000000000003,0.5443,midterm,0.4280181818181818,0.11628181818181821
2018,Michigan,MI,4341340,7828901,7534678,0.5545,0.5762,midterm,0.47393636363636366,0.10226363636363639
2018,New York,NY,6230959,15448193,13766275,0.4033,0.45260000000000006,midterm,0.38945454545454544,0.06314545454545462
2018,Ohio,OH,4496834,9092226,8811352,0.4946,0.5103,midterm,0.4499818181818182,0.06031818181818177
2018,Utah,UT,1082972,2240839,2102342,0.4833,0.5151,midterm,0.41901818181818185,0.09608181818181816
2016,California,CA,14610509,30130155,25058420,0.4849,0.5831,presidential,0.59315,-0.010050000000000003
2016,Florida,FL,9580489,16533216,14577798,0.5794999999999999,0.6572,presidential,0.5978583333333334,0.059341666666666626
2016,Michigan,MI,4874619,7765389,7437567,0.6277,0.6554000000000001,presidential,0.6470333333333333,0.008366666666666744
2016,New York,NY,7786881,15473628,13525950,0.5032,0.5757,presidential,0.569025,0.0066749999999999865
2016,Ohio,OH,5607641,9028098,8759758,0.6211,0.6402,presidential,0.6245499999999999,0.015650000000000053
2016,Utah,UT,1152369,2139328,1985869,0.5387,0.5803,presidential,0.6101416666666667,-0.029841666666666655
2014,California,CA,7513972,29575685,24413353,0.2541,0.30779999999999996,midterm,0.43526363636363635,-0.1274636363636364
2014,Florida,FL,6026802,15897657,14001044,0.3791,0.4305,midterm,0.4280181818181818,0.002481818181818196
2014,Michigan,MI,3188956,7707406,7387039,0.41379999999999995,0.43170000000000003,midterm,0.47393636363636366,-0.04223636363636363
2014,New York,NY,3930310,15453917,13490728,0.25429999999999997,0.2913,midterm,0.38945454545454544,-0.09815454545454544
2014,Ohio,OH,3149876,8968923,8702645,0.35120000000000007,0.36190000000000005,midterm,0.4499818181818182,-0.08808181818181815
2014,Utah,UT,577973,2045779,1899842,0.2825,0.30419999999999997,midterm,0.41901818181818185,-0.11481818181818187
2012,California,CA,13202158,28871296,23638949,0.45730000000000004,0.5585,presidential,0.59315,-0.03464999999999996
2012,Florida,FL,8538264,15367936,13484046,0.5556,0.6332,presidential,0.5978583333333334,0.035341666666666605
2012,Michigan,MI,4780701,7637478,7327148,0.626,0.6525,presidential,0.6470333333333333,0.00546666666666662
2012,New York,NY,7128852,15334363,13321457,0.46490000000000004,0.5351,presidential,0.569025,-0.03392499999999998
2012,Ohio,OH,5632423,8894484,8648493,0.6332,0.6513,presidential,0.6245499999999999,0.02675000000000005
2012,Utah,UT,1028786,1976573,1831602,0.5205,0.5617,presidential,0.6101416666666667,-0.048441666666666716
2010,California,CA,10529134,28157259,22823850,0.3739,0.46130000000000004,midterm,0.43526363636363635,0.02603636363636369
2010,Florida,FL,5473787,14916715,12966802,0.36700000000000005,0.42210000000000003,midterm,0.4280181818181818,-0.005918181818181767
2010,Michigan,MI,3268217,7555775,7249664,0.4325,0.4508,midterm,0.47393636363636366,-0.023136363636363677
2010,New York,NY,4763899,15121092,13105474,0.315,0.36349999999999993,midterm,0.38945454545454544,-0.025954545454545508
2010,Ohio,OH,3956028,8827567,8566897,0.44809999999999994,0.4618,midterm,0.4499818181818182,0.011818181818181783
2010,Utah,UT,653274,1911676,1774967,0.3417,0.368,midterm,0.41901818181818185,-0.05101818181818185
2008,California,CA,13743177,27411094,22270461,0.5014,0.6171,presidential,0.59315,0.023950000000000027
2008,Florida,FL,8453743,14558436,12683359,0.5807,0.6664999999999999,presidential,0.5978583333333334,0.06864166666666649
2008,Michigan,MI,5039080,7528460,7231283,0.6693000000000001,0.6968,presidential,0.6470333333333333,0.049766666666666626
2008,New York,NY,7721718,14876971,12945767,0.519,0.5965,presidential,0.569025,0.027475000000000027
2008,Ohio,OH,5773777,8757453,8513103,0.6593000000000001,0.6781999999999999,presidential,0.6245499999999999,0.053649999999999975
2008,Utah,UT,971185,1840087,1701049,0.5278,0.5709000000000001,presidential,0.6101416666666667,-0.03924166666666662
2006,California,CA,8899059,26739781,21398706,0.3328,0.41590000000000005,midterm,0.43526363636363635,-0.019363636363636305
2006,Florida,FL,4884544,14211669,12300449,0.34369999999999995,0.3971,midterm,0.4280181818181818,-0.03091818181818179
2006,Michigan,MI,3852008,7532918,7210156,0.5114,0.5342,midterm,0.47393636363636366,0.06026363636363635
2006,New York,NY,4703830,14665626,12730240,0.3207,0.36949999999999994,midterm,0.38945454545454544,-0.019954545454545503
2006,Ohio,OH,4184072,8687609,8447316,0.48160000000000003,0.4953,midterm,0.4499818181818182,0.04531818181818181
2006,Utah,UT,582561,1752158,1621325,0.3325,0.3593,midterm,0.41901818181818185,-0.05971818181818184
2004,California,CA,12589367,26246548,21035883,0.4797,0.5984999999999999,presidential,0.59315,0.005349999999999966
2004,Florida,FL,7640319,13643828,11885513,0.56,0.6428,presidential,0.5978583333333334,0.04494166666666666
2004,Michigan,MI,4875692,7508568,7204686,0.6494000000000001,0.6766999999999999,presidential,0.6470333333333333,0.029666666666666508
2004,New York,NY,7448266,14598898,12640317,0.5102,0.5892000000000001,presidential,0.569025,0.020175000000000054
2004,Ohio,OH,5722443,8624277,8407021,0.6635,0.6807,presidential,0.6245499999999999,0.05615000000000003
2004,Utah,UT,942010,1664066,1545108,0.5661,0.6097,presidential,0.6101416666666667,-4.4166666666667354e-4
2002,California,CA,7738821,25622609,20529013,0.302,0.377,midterm,0.43526363636363635,-0.05826363636363635
2002,Florida,FL,5143674,13005435,11356610,0.39549999999999996,0.4529000000000001,midterm,0.4280181818181818,0.024881818181818283
2002,Michigan,MI,3219864,7445335,7142670,0.4325,0.4508,midterm,0.47393636363636366,-0.023136363636363677
2002,New York,NY,4690968,14504792,12555284,0.32339999999999997,0.3736,midterm,0.38945454545454544,-0.015854545454545454
2002,Ohio,OH,3356285,8556557,8348151,0.39220000000000005,0.402,midterm,0.4499818181818182,-0.04798181818181818
2002,Utah,UT,568290,1601707,1492002,0.35479999999999995,0.3809,midterm,0.41901818181818185,-0.03811818181818183
2000,California,CA,11142843,24867252,19911561,0.44809999999999994,0.5596,presidential,0.59315,-0.03354999999999997
2000,Florida,FL,6138765,12475387,10952576,0.4921,0.5605,presidential,0.5978583333333334,-0.03735833333333338
2000,Michigan,MI,4279299,7370524,7079579,0.5806,0.6044999999999999,presidential,0.6470333333333333,-0.04253333333333342
2000,New York,NY,6960215,14344348,12394560,0.4852,0.5616,presidential,0.569025,-0.007425000000000015
2000,Ohio,OH,4795989,8487355,8288750,0.5650999999999999,0.5786,presidential,0.6245499999999999,-0.045949999999999935
2000,Utah,UT,784582,1534950,1435686,0.5111,0.5465,presidential,0.6101416666666667,-0.06364166666666671
1998,California,CA,8617649,23980067,19273427,0.3594,0.4471,midterm,0.43526363636363635,0.011836363636363645
1998,Florida,FL,4070262,12001902,10586018,0.33909999999999996,0.38449999999999995,midterm,0.4280181818181818,-0.043518181818181845
1998,Michigan,MI,3143432,7276123,7004684,0.43200000000000005,0.4488,midterm,0.47393636363636366,-0.02513636363636368
1998,New York,NY,4989877,14139223,12256410,0.35290000000000005,0.4071,midterm,0.38945454545454544,0.017645454545454575
1998,Ohio,OH,3534782,8424249,8241011,0.41960000000000003,0.4289,midterm,0.4499818181818182,-0.0210818181818182
1998,Utah,UT,506553,1467078,1381936,0.3453,0.36660000000000004,midterm,0.41901818181818185,-0.05241818181818181
1996,California,CA,10263490,23076427,18653967,0.4448,0.5502,presidential,0.59315,-0.04294999999999993
