observation_date,MEHOINUSMIA672N
1984-01-01,61900
1985-01-01,63200
1986-01-01,68230
1987-01-01,68720
1988-01-01,70510
1989-01-01,70530
1990-01-01,65430
1991-01-01,67730
1992-01-01,66360
1993-01-01,65550
1994-01-01,69300
1995-01-01,69890
1996-01-01,73320
1997-01-01,70900
1998-01-01,75500
1999-01-01,81520
2000-01-01,77820
2001-01-01,75320
2002-01-01,70540
2003-01-01,72840
2004-01-01,66690
2005-01-01,70450
2006-01-01,72510
2007-01-01,71750
2008-01-01,69800
2009-01-01,64740
2010-01-01,64260
2011-01-01,65830
2012-01-01,66080
2013-01-01,73840
2014-01-01,66930
2015-01-01,69820
2016-01-01,72890
2017-01-01,70770
2018-01-01,74350
2019-01-01,77710
2020-01-01,77240
2021-01-01,74040
2022-01-01,73550
2023-01-01,78950
2024-01-01,79460
