observation_date,MEHOINUSOHA646N
1984-01-01,23120
1985-01-01,25170
1986-01-01,25120
1987-01-01,25770
1988-01-01,27740
1989-01-01,29020
1990-01-01,30010
1991-01-01,29790
1992-01-01,31400
1993-01-01,31290
1994-01-01,31860
1995-01-01,34940
1996-01-01,34070
1997-01-01,36130
1998-01-01,38930
1999-01-01,39490
2000-01-01,42960
2001-01-01,41790
2002-01-01,42680
2003-01-01,43520
2004-01-01,43060
2005-01-01,44200
2006-01-01,45900
2007-01-01,49100
2008-01-01,46930
2009-01-01,45880
2010-01-01,45890
2011-01-01,44650
2012-01-01,44380
2013-01-01,50750
2014-01-01,49640
2015-01-01,53300
2016-01-01,53990
2017-01-01,60690
2018-01-01,61630
2019-01-01,64660
2020-01-01,60380
2021-01-01,62690
2022-01-01,67520
2023-01-01,73770
2024-01-01,80520
