observation_date,MEHOINUSUTA672N
1984-01-01,62150
1985-01-01,65790
1986-01-01,67400
1987-01-01,65810
1988-01-01,62950
1989-01-01,70390
1990-01-01,65870
1991-01-01,59080
1992-01-01,70440
1993-01-01,71820
1994-01-01,70140
1995-01-01,69990
1996-01-01,69230
1997-01-01,78280
1998-01-01,79980
1999-01-01,81450
2000-01-01,81300
2001-01-01,79160
2002-01-01,79040
2003-01-01,79720
2004-01-01,80290
2005-01-01,84080
2006-01-01,81430
2007-01-01,77800
2008-01-01,87670
2009-01-01,82330
2010-01-01,78730
2011-01-01,74730
2012-01-01,77080
2013-01-01,79690
2014-01-01,81580
2015-01-01,85340
2016-01-01,86150
2017-01-01,87560
2018-01-01,94780
2019-01-01,102400
2020-01-01,100700
2021-01-01,100600
2022-01-01,102100
2023-01-01,103800
2024-01-01,104000
